Hours_Studied,Attendance,Sleep_Hours,Previous_Score,Result
4.88,52.38,6.42,86.38,Pass
0.34,53.5,7.22,49.83,Fail
0.63,57.83,4.27,31.64,Fail
9.06,57.92,5.36,56.68,Pass
1.39,62.4,5.94,89.61,Fail
5.32,96.87,4.06,33.26,Fail
4.11,78.79,5.89,37.26,Fail
3.47,71.13,7.27,55.16,Fail
9.0,78.19,4.12,54.53,Pass
0.22,50.29,7.19,66.9,Fail
6.64,94.74,8.8,66.15,Pass
9.63,76.62,4.88,32.59,Pass
5.6,72.58,9.77,68.11,Pass
9.37,97.08,6.49,38.22,Pass
0.52,86.52,6.63,79.36,Fail
4.19,66.87,7.09,95.93,Pass
2.6,96.81,6.36,99.74,Pass
7.31,92.6,7.91,61.04,Pass
9.81,97.73,5.07,75.36,Pass
2.57,54.81,9.52,67.38,Fail
6.54,97.76,9.21,42.4,Pass
1.98,77.14,7.87,63.18,Fail
5.65,83.61,8.74,96.0,Pass
4.64,60.61,8.25,66.26,Pass
9.72,57.02,6.85,86.19,Pass
6.09,53.97,4.93,70.71,Fail
3.5,71.12,5.95,64.2,Fail
1.14,61.07,9.31,34.85,Fail
1.51,54.08,8.0,95.92,Fail
2.25,97.75,9.19,39.4,Fail
2.51,86.67,9.27,80.92,Pass
8.51,75.89,7.16,50.9,Pass
5.61,87.17,6.62,51.88,Pass
5.23,80.57,6.58,66.04,Pass
1.15,58.9,6.66,62.56,Fail
8.6,81.67,9.68,36.02,Pass
7.23,84.05,4.9,41.4,Pass
0.68,61.87,4.91,94.83,Fail
7.08,66.01,6.32,59.87,Pass
5.44,69.17,8.81,56.88,Pass
0.82,80.13,9.11,65.71,Fail
4.58,56.34,8.95,46.16,Fail
4.85,87.17,7.49,36.33,Fail
1.66,67.3,9.15,92.8,Fail
9.46,84.59,5.16,39.6,Pass
8.5,96.64,7.59,74.31,Pass
6.69,93.49,5.97,78.96,Pass
4.62,86.88,5.64,30.62,Fail
4.12,59.67,4.6,81.48,Fail
6.51,86.6,6.19,98.84,Pass
5.45,81.79,4.21,89.37,Pass
0.62,88.63,6.11,57.84,Fail
5.13,93.44,6.85,31.01,Fail
8.06,65.57,6.15,93.67,Pass
4.59,82.22,8.63,88.22,Pass
0.52,63.76,5.68,95.77,Fail
7.86,67.31,4.45,98.9,Pass
2.01,76.03,5.19,46.0,Fail
2.59,71.71,8.92,49.17,Fail
1.65,80.03,7.82,57.11,Fail
3.3,87.94,7.46,35.98,Fail
7.57,80.25,7.23,97.43,Pass
5.19,98.49,8.49,82.25,Pass
2.05,86.91,5.18,33.23,Fail
8.78,99.25,5.26,77.71,Pass
8.8,87.17,4.78,39.44,Pass
8.71,75.4,6.04,84.92,Pass
2.39,70.55,5.64,76.12,Fail
4.51,86.78,9.49,68.92,Pass
9.85,84.36,4.07,53.46,Pass
7.72,83.44,6.84,79.01,Pass
0.27,86.09,8.38,50.16,Fail
0.65,93.61,9.44,31.53,Fail
4.64,61.39,9.8,94.08,Pass
9.09,78.24,4.42,37.79,Pass
5.39,80.17,5.17,84.71,Pass
4.98,64.64,9.99,55.99,Pass
1.05,99.4,5.88,61.88,Fail
6.57,89.28,4.33,47.71,Pass
8.22,66.06,9.6,39.61,Pass
3.8,67.92,6.42,33.36,Fail
7.76,85.91,5.75,31.13,Pass
9.64,50.57,4.9,70.61,Pass
2.04,73.2,6.55,92.75,Fail
5.23,67.16,6.21,45.92,Fail
2.87,92.7,9.54,35.43,Fail
7.93,89.56,5.27,67.08,Pass
5.78,66.6,4.52,64.89,Fail
6.35,93.24,5.66,81.31,Pass
7.98,95.68,7.28,43.78,Pass
3.96,77.62,5.97,90.34,Pass
9.15,57.96,5.87,34.72,Pass
5.33,88.52,6.39,66.5,Pass
1.58,65.97,9.23,75.09,Fail
6.96,76.36,7.98,46.46,Pass
7.93,52.28,7.16,33.69,Pass
3.17,75.0,6.42,36.31,Fail
8.57,69.01,4.42,91.61,Pass
9.06,84.3,9.31,30.05,Pass
2.77,52.04,4.77,48.87,Fail
9.84,81.25,5.12,98.55,Pass
1.41,88.6,6.7,56.54,Fail
2.02,50.64,4.84,38.49,Fail
1.84,87.5,7.84,33.97,Fail
8.94,56.51,6.97,95.61,Pass
6.54,84.9,6.99,91.61,Pass
1.52,72.76,9.8,35.94,Fail
4.4,77.6,8.04,71.12,Pass
6.15,66.87,8.39,73.48,Pass
0.83,62.27,7.66,79.04,Fail
8.82,53.55,5.56,39.83,Pass
8.04,93.23,4.38,42.44,Pass
5.05,80.52,7.37,95.77,Pass
9.67,99.14,6.68,74.32,Pass
4.18,92.52,4.74,54.65,Fail
9.84,93.48,9.16,89.76,Pass
6.68,79.89,6.98,66.87,Pass
6.35,54.05,6.72,37.72,Fail
1.66,95.67,6.5,83.33,Fail
8.82,55.89,8.43,88.96,Pass
4.27,75.86,4.31,33.37,Fail
1.62,92.84,5.29,38.09,Fail
0.13,73.62,9.41,45.77,Fail
5.6,58.28,4.24,40.13,Fail
5.27,68.66,7.66,79.44,Pass
7.19,99.42,5.45,36.37,Pass
8.9,99.99,7.24,36.69,Pass
0.79,85.54,7.19,99.74,Fail
7.31,94.4,7.94,68.1,Pass
1.87,52.21,5.03,57.13,Fail
8.58,63.8,7.84,53.75,Pass
8.19,68.45,8.69,62.08,Pass
5.41,50.6,5.05,48.3,Fail
7.1,68.85,8.74,95.09,Pass
3.14,54.65,4.73,95.42,Fail
4.71,75.87,5.58,97.49,Pass
8.22,50.22,6.17,93.93,Pass
4.59,63.52,5.87,95.33,Pass
3.58,93.31,8.4,61.24,Pass
4.94,60.65,5.61,49.49,Fail
8.28,53.24,8.5,54.84,Pass
3.35,62.49,4.34,83.3,Fail
1.74,91.38,5.91,39.5,Fail
7.12,79.36,9.48,30.32,Pass
8.26,79.3,6.31,79.65,Pass
1.01,50.03,6.82,65.99,Fail
2.4,73.61,8.52,81.74,Fail
1.42,63.28,4.32,74.35,Fail
3.48,66.81,8.2,41.06,Fail
4.5,79.93,4.39,75.63,Fail
7.49,93.72,7.32,98.24,Pass
6.51,59.08,7.67,71.1,Pass
6.21,88.41,4.87,44.39,Pass
3.52,52.45,9.11,42.67,Fail
8.41,66.34,7.41,43.08,Pass
4.71,60.95,4.93,79.24,Fail
9.79,95.78,9.17,87.07,Pass
6.34,58.9,8.95,40.99,Pass
1.26,78.93,8.02,98.68,Fail
6.76,58.24,6.43,76.48,Pass
3.25,73.67,6.97,56.31,Fail
6.86,70.67,8.22,51.05,Pass
0.7,52.07,5.8,82.36,Fail
1.75,91.29,7.57,66.65,Fail
8.56,89.01,7.73,54.88,Pass
2.27,63.89,5.33,38.4,Fail
8.37,80.7,4.77,72.64,Pass
2.79,68.13,4.99,64.09,Fail
6.43,88.46,4.13,80.17,Pass
6.94,84.62,8.51,98.81,Pass
5.13,54.52,8.86,61.51,Pass
3.05,92.21,8.8,98.03,Pass
2.13,58.97,9.58,32.89,Fail
0.33,58.71,4.51,70.4,Fail
3.04,86.69,9.58,87.91,Pass
6.53,59.16,7.01,44.31,Pass
9.38,56.12,6.36,66.15,Pass
8.71,66.78,4.85,87.28,Pass
7.66,91.94,6.9,64.68,Pass
7.88,58.84,8.09,70.99,Pass
6.65,66.95,4.53,34.4,Fail
2.6,64.31,9.87,90.87,Pass
9.07,67.8,9.5,30.54,Pass
6.71,85.71,9.32,65.82,Pass
5.6,70.27,6.46,63.22,Pass
1.11,87.98,9.14,35.94,Fail
4.47,82.02,4.75,46.08,Fail
4.6,68.05,9.46,80.87,Pass
8.65,71.61,9.13,92.78,Pass
5.47,85.18,7.52,41.76,Pass
3.8,76.74,7.97,97.17,Pass
9.77,93.42,6.1,42.54,Pass
1.11,96.66,9.69,73.07,Fail
4.23,85.89,4.4,75.6,Fail
0.42,99.46,9.35,77.14,Fail
7.4,79.83,5.57,83.13,Pass
9.18,51.99,8.83,68.94,Pass
2.8,75.24,4.3,31.92,Fail
8.58,61.5,5.47,67.08,Pass
2.92,66.69,5.19,88.31,Fail
9.11,74.5,9.87,70.36,Pass
7.54,64.75,5.26,40.98,Pass
8.05,65.48,6.23,44.39,Pass
0.18,70.1,5.79,64.72,Fail
9.63,64.32,9.92,38.53,Pass
7.27,58.48,7.7,39.01,Pass
3.05,88.28,6.16,70.29,Fail
8.29,69.76,9.45,96.7,Pass
2.82,91.59,8.24,47.03,Fail
8.73,94.14,8.22,62.71,Pass
1.13,87.55,6.92,52.62,Fail
7.04,69.83,6.99,81.42,Pass
5.41,86.07,8.38,67.49,Pass
0.97,57.76,4.06,71.81,Fail
2.42,83.06,6.62,67.23,Fail
0.12,70.3,9.89,86.85,Fail
4.69,82.78,7.92,42.66,Fail
3.01,87.74,6.27,89.58,Pass
5.98,78.13,5.02,38.36,Fail
2.97,82.12,6.15,72.29,Fail
3.0,60.68,6.88,64.69,Fail
7.43,79.63,7.78,57.22,Pass
0.48,73.02,9.9,67.01,Fail
9.03,71.4,6.98,48.24,Pass
8.52,70.52,6.18,58.1,Pass
6.68,65.55,5.52,32.51,Fail
5.93,65.27,8.6,99.82,Pass
8.92,84.99,6.78,36.33,Pass
1.85,77.89,8.35,88.02,Fail
0.79,51.5,5.7,54.81,Fail
2.4,52.43,6.23,81.49,Fail
7.95,78.51,9.73,53.94,Pass
0.35,92.31,5.4,96.37,Fail
5.83,52.2,5.91,40.32,Fail
9.95,75.36,7.05,54.78,Pass
8.56,92.56,7.15,98.53,Pass
5.21,50.22,4.4,41.72,Fail
0.64,63.79,9.83,68.49,Fail
8.31,96.0,5.82,32.24,Pass
5.99,54.07,4.32,91.93,Pass
1.15,80.35,5.53,47.87,Fail
0.94,75.37,6.4,58.77,Fail
9.1,57.58,5.39,57.57,Pass
6.69,52.12,4.93,46.25,Fail
8.29,75.13,7.04,78.78,Pass
8.79,86.76,8.78,68.38,Pass
5.72,58.86,8.23,46.64,Pass
5.17,84.57,6.55,93.33,Pass
4.3,77.32,4.74,58.99,Fail
3.17,67.89,9.73,63.38,Fail
4.35,83.22,6.02,62.56,Fail
7.74,59.6,4.62,34.81,Fail
6.02,72.85,6.02,35.78,Fail
8.93,77.47,8.18,86.91,Pass
4.43,72.93,5.51,86.14,Pass
6.07,69.88,5.1,81.99,Pass
6.31,87.05,5.58,86.55,Pass
5.92,82.81,7.31,48.14,Pass
7.03,81.97,9.25,95.8,Pass
2.37,94.59,4.79,33.23,Fail
5.12,99.68,4.86,68.24,Pass
1.04,78.36,6.57,69.09,Fail
3.85,67.41,4.75,61.04,Fail
4.88,88.94,9.87,80.05,Pass
6.52,57.1,9.27,52.48,Pass
9.51,75.65,4.39,53.5,Pass
6.01,76.23,9.44,35.74,Pass
7.44,99.17,5.71,99.62,Pass
5.06,99.55,5.94,74.86,Pass
6.34,89.96,6.03,67.36,Pass
0.71,73.65,4.42,35.54,Fail
2.54,77.36,8.67,49.93,Fail
3.62,65.99,5.1,69.28,Fail
4.72,91.49,5.25,80.94,Pass
0.46,87.33,8.61,69.88,Fail
1.4,88.57,4.36,97.46,Fail
2.77,56.93,6.02,48.17,Fail
9.72,69.93,7.37,88.42,Pass
3.31,76.87,4.69,80.09,Fail
4.82,56.23,6.55,34.29,Fail
1.96,68.43,6.12,54.6,Fail
6.11,54.37,5.93,99.87,Pass
2.81,97.94,5.62,40.2,Fail
2.07,87.56,6.03,40.02,Fail
5.17,81.04,6.35,70.62,Pass
0.06,60.24,4.77,83.49,Fail
0.08,66.71,5.25,31.92,Fail
2.19,57.22,9.46,48.27,Fail
0.37,76.81,9.67,62.25,Fail
1.08,91.03,9.96,77.78,Fail
3.39,50.95,6.87,52.54,Fail
8.03,55.17,4.81,66.88,Pass
5.72,61.47,8.1,58.74,Pass
5.13,85.7,9.62,66.54,Pass
2.93,94.7,4.19,77.45,Fail
9.32,87.65,4.13,78.63,Pass
3.97,76.25,7.68,43.7,Fail
0.87,55.26,4.24,56.36,Fail
6.17,87.75,6.35,49.52,Pass
1.14,55.28,6.26,54.79,Fail
3.45,67.38,4.59,54.74,Fail
5.07,65.4,8.48,32.89,Fail
8.74,67.96,4.65,88.02,Pass
4.94,66.48,5.64,59.17,Fail
7.02,88.46,8.36,93.01,Pass
9.93,58.59,7.71,75.93,Pass
1.31,92.29,6.84,94.43,Fail
2.75,92.91,4.29,94.9,Fail
3.95,74.55,8.58,32.27,Fail
4.22,55.31,8.95,61.46,Fail
4.11,78.77,4.61,46.33,Fail
9.08,91.05,9.92,53.19,Pass
7.14,64.47,6.08,41.45,Pass
6.08,91.89,6.55,32.16,Pass
3.09,83.85,6.49,55.71,Fail
8.24,99.36,7.8,83.08,Pass
9.55,91.24,7.44,94.36,Pass
8.21,60.08,7.36,67.85,Pass
0.02,72.45,8.69,38.01,Fail
6.36,55.18,9.57,60.42,Pass
0.51,53.48,8.93,79.57,Fail
2.58,85.3,8.33,61.61,Fail
0.6,95.65,4.3,45.12,Fail
6.04,98.68,5.49,82.04,Pass
6.87,63.52,4.63,85.81,Pass
1.14,60.09,9.13,82.59,Fail
3.84,78.01,7.91,69.13,Pass
4.56,60.04,4.2,74.25,Fail
3.69,64.8,8.34,76.85,Fail
1.21,91.86,6.02,94.52,Fail
4.19,90.52,7.26,41.05,Fail
7.51,94.75,7.48,69.74,Pass
0.71,74.11,4.97,64.55,Fail
0.8,78.2,6.39,45.73,Fail
3.55,88.53,6.56,99.47,Pass
9.42,61.96,7.69,85.53,Pass
6.69,91.15,9.34,49.64,Pass
6.79,50.88,7.69,85.64,Pass
3.62,89.88,8.1,47.36,Fail
5.94,88.8,7.99,49.62,Pass
0.1,65.09,4.51,92.26,Fail
6.36,86.4,5.8,93.18,Pass
9.13,60.7,6.41,87.01,Pass
6.13,78.81,6.67,99.65,Pass
8.74,85.03,9.05,37.72,Pass
7.24,85.73,7.15,67.62,Pass
1.21,99.15,8.89,62.49,Fail
9.02,59.1,9.44,72.14,Pass
0.66,74.04,8.18,72.72,Fail
5.34,94.01,4.68,74.08,Pass
1.42,78.08,5.21,51.7,Fail
0.12,93.82,8.97,33.55,Fail
4.22,71.7,7.38,53.99,Fail
2.95,89.77,7.1,80.12,Fail
4.86,93.5,9.81,56.42,Pass
5.77,92.32,6.21,66.84,Pass
0.44,93.57,4.25,99.05,Fail
1.23,60.98,5.53,80.82,Fail
5.59,71.95,5.71,94.52,Pass
3.43,58.73,7.07,56.71,Fail
7.29,59.03,4.04,69.01,Pass
6.52,74.39,9.93,45.12,Pass
8.46,98.0,4.37,59.24,Pass
6.92,79.6,5.39,46.61,Pass
4.3,92.69,8.03,67.91,Pass
6.73,96.86,9.87,70.85,Pass
2.75,54.33,7.07,42.38,Fail
3.06,58.1,6.05,90.6,Fail
7.89,64.54,4.97,43.89,Pass
4.46,80.84,9.42,60.31,Pass
7.98,53.09,4.3,41.41,Fail
8.22,89.33,4.42,43.12,Pass
8.58,53.19,4.38,64.19,Pass
9.17,57.92,6.8,72.53,Pass
4.31,69.09,9.59,35.19,Fail
3.19,77.89,7.33,39.05,Fail
5.82,94.08,6.13,53.76,Pass
3.71,98.19,5.43,35.56,Fail
6.01,94.23,7.09,78.49,Pass
7.06,55.35,6.65,93.2,Pass
6.88,81.56,4.56,79.67,Pass
3.75,72.09,4.04,71.55,Fail
1.67,56.29,7.57,96.19,Fail
4.31,77.76,9.15,57.13,Pass
1.43,67.83,7.65,31.21,Fail
8.9,67.29,5.96,35.85,Pass
3.46,54.72,4.92,93.79,Fail
1.54,98.94,8.43,98.01,Pass
0.25,86.3,8.21,34.17,Fail
6.46,64.02,9.08,94.32,Pass
6.37,95.87,9.9,41.45,Pass
3.41,97.4,4.67,55.64,Fail
0.72,90.52,5.59,82.75,Fail
4.1,82.97,6.06,57.82,Fail
3.11,68.82,7.23,84.34,Fail
6.77,71.72,4.32,77.47,Pass
6.06,72.75,5.65,95.24,Pass
3.65,97.44,8.76,60.8,Pass
2.18,88.01,4.29,66.01,Fail
9.88,64.6,8.91,83.93,Pass
4.54,81.23,5.11,98.02,Pass
6.88,79.7,5.83,55.29,Pass
1.41,90.61,8.31,95.58,Fail
4.86,54.77,8.59,78.06,Pass
0.28,85.06,5.26,93.16,Fail
5.05,66.56,6.43,48.85,Fail
9.64,56.48,5.45,80.19,Pass
3.84,86.59,7.08,59.73,Fail
0.39,66.58,7.91,59.07,Fail
0.31,86.51,5.62,41.33,Fail
3.88,58.12,6.77,50.25,Fail
1.6,99.3,7.21,85.76,Fail
0.23,90.17,6.51,73.66,Fail
7.56,64.46,7.08,47.11,Pass
4.59,87.03,4.86,86.69,Pass
2.89,56.79,4.24,96.54,Fail
9.0,82.67,4.38,59.69,Pass
1.16,52.98,9.84,97.29,Fail
9.56,66.67,4.44,44.85,Pass
3.14,98.92,6.32,33.7,Fail
8.88,56.05,8.75,32.93,Pass
6.03,79.87,9.1,75.25,Pass
8.27,53.53,5.61,78.06,Pass
9.84,83.47,7.84,73.94,Pass
2.88,63.93,8.34,88.63,Fail
9.61,65.5,9.5,77.64,Pass
3.89,66.89,9.33,82.7,Pass
3.86,60.26,6.61,68.71,Fail
3.4,97.08,7.25,46.69,Fail
5.41,95.29,8.81,39.43,Pass
1.54,93.5,7.59,96.99,Fail
5.54,55.32,6.14,47.77,Fail
5.42,61.67,9.7,47.81,Pass
7.62,80.61,9.99,93.84,Pass
8.34,98.52,9.6,93.61,Pass
4.4,80.24,6.07,63.63,Fail
3.02,66.36,5.45,99.76,Fail
2.59,90.87,6.96,42.42,Fail
1.95,56.77,8.71,60.93,Fail
0.58,94.09,5.62,40.8,Fail
3.42,98.73,6.44,61.69,Fail
2.7,98.38,4.91,99.66,Pass
9.66,57.38,8.21,53.91,Pass
5.58,77.48,8.42,61.48,Pass
3.47,79.25,6.97,98.98,Pass
5.8,59.75,8.42,44.02,Pass
1.39,77.34,7.87,78.23,Fail
4.44,82.33,9.58,69.15,Pass
6.26,66.45,7.52,89.06,Pass
4.89,65.78,6.14,64.59,Fail
4.02,53.01,8.38,66.61,Fail
9.94,97.84,4.34,58.46,Pass
8.8,90.18,6.86,78.99,Pass
6.23,87.97,9.8,75.96,Pass
5.69,51.09,8.23,87.58,Pass
6.21,81.22,9.99,61.35,Pass
2.01,59.03,6.36,45.72,Fail
3.95,83.09,6.36,59.08,Fail
0.39,81.06,4.36,91.97,Fail
4.76,92.6,6.16,77.48,Pass
5.43,62.77,4.85,86.95,Pass
2.28,51.37,6.37,75.35,Fail
9.64,95.71,4.01,86.89,Pass
9.09,95.43,6.63,67.12,Pass
7.22,72.79,9.63,36.99,Pass
5.33,53.9,8.57,66.31,Pass
8.7,74.9,5.45,99.67,Pass
1.31,76.2,5.62,36.38,Fail
7.91,91.09,5.86,93.23,Pass
1.25,85.86,4.56,55.72,Fail
7.94,53.54,9.95,36.36,Pass
2.76,85.27,8.01,67.46,Fail
8.77,56.79,8.43,96.98,Pass
9.44,54.47,8.17,67.73,Pass
1.49,69.93,6.79,60.02,Fail
4.63,53.87,8.9,31.37,Fail
9.81,91.46,5.43,99.11,Pass
4.83,73.16,6.33,45.29,Fail
8.64,79.35,5.96,98.36,Pass
5.89,78.84,9.72,48.49,Pass
3.75,98.91,4.23,60.48,Fail
2.86,95.79,4.45,33.16,Fail
2.03,92.46,9.74,65.04,Fail
7.62,69.16,8.13,32.0,Pass
3.87,57.25,7.82,82.39,Fail
5.11,79.59,8.92,70.5,Pass
4.92,72.02,9.5,37.05,Pass
5.77,61.28,9.38,71.47,Pass
8.66,54.88,9.34,84.37,Pass
9.81,71.8,9.03,60.9,Pass
4.08,82.54,4.72,43.8,Fail
8.28,81.27,7.81,89.24,Pass
7.65,88.7,6.95,45.36,Pass
5.74,73.33,8.68,68.72,Pass
9.56,66.08,9.73,52.82,Pass
2.0,76.94,6.19,51.34,Fail
1.09,98.75,8.53,42.82,Fail
8.54,52.25,5.27,74.51,Pass
4.39,76.43,6.53,90.86,Pass
8.47,66.46,8.34,30.88,Pass
8.93,55.27,4.52,52.24,Pass
0.62,71.73,9.17,87.44,Fail
8.83,82.06,9.5,77.53,Pass
4.48,76.41,9.23,39.18,Fail
5.1,51.46,4.0,57.79,Fail
6.27,78.96,8.82,92.67,Pass
9.26,61.6,9.38,73.7,Pass
0.19,67.07,9.9,87.54,Fail
4.77,65.61,4.2,66.13,Fail
6.88,92.93,7.38,46.91,Pass
7.23,52.38,9.29,36.54,Pass
6.93,67.4,8.39,80.33,Pass
1.34,69.74,9.13,33.25,Fail
2.99,80.94,8.19,52.09,Fail
3.59,89.45,4.15,49.43,Fail
8.04,86.38,9.27,42.32,Pass
2.79,87.63,7.71,68.79,Fail
2.11,59.62,5.48,99.38,Fail
9.57,95.59,8.08,91.54,Pass
0.09,70.71,7.09,45.5,Fail
9.98,50.56,8.3,35.99,Pass
6.77,83.4,6.84,86.8,Pass
8.28,80.2,4.61,78.27,Pass
2.95,56.3,9.47,74.92,Fail
0.14,97.99,8.1,67.28,Fail
7.38,78.08,8.28,81.35,Pass
8.34,73.46,8.61,66.1,Pass
7.4,69.91,7.07,66.16,Pass
1.43,60.49,8.28,57.13,Fail
7.53,97.64,5.27,86.86,Pass
7.69,85.11,6.81,40.61,Pass
6.59,78.38,8.15,91.67,Pass
7.66,81.56,8.83,75.41,Pass
8.46,92.02,9.81,72.25,Pass
6.14,81.79,9.16,94.49,Pass
0.89,55.73,4.25,75.29,Fail
4.88,84.86,5.06,44.77,Fail
0.78,78.24,8.08,87.09,Fail
4.08,98.32,4.49,95.87,Pass
4.07,86.69,9.97,53.33,Pass
0.66,67.2,6.83,48.7,Fail
3.49,56.77,8.12,76.91,Fail
1.11,74.11,4.29,95.53,Fail
8.08,83.97,6.58,50.6,Pass
9.48,58.86,5.44,54.19,Pass
0.72,82.47,4.63,34.93,Fail
9.55,91.28,8.04,81.86,Pass
5.23,57.85,9.86,87.4,Pass
3.0,85.29,5.83,46.29,Fail
0.77,53.41,9.57,91.97,Fail
5.01,50.4,4.02,64.2,Fail
7.95,51.63,7.98,48.49,Pass
7.07,81.58,7.18,71.32,Pass
0.5,98.67,6.21,70.29,Fail
0.73,88.57,6.51,53.32,Fail
4.03,62.72,7.6,75.87,Fail
2.95,53.58,7.35,85.61,Fail
2.32,80.83,7.05,80.08,Fail
2.81,50.16,9.9,56.17,Fail
8.03,89.63,8.61,87.2,Pass
9.29,62.16,5.07,76.54,Pass
4.05,64.96,9.5,49.88,Fail
9.06,67.2,6.95,90.57,Pass
3.21,88.18,4.08,31.92,Fail
4.76,63.29,8.72,75.2,Pass
2.26,64.22,6.12,67.24,Fail
6.4,77.05,9.99,77.37,Pass
9.79,73.15,7.26,66.77,Pass
6.03,97.78,5.62,97.26,Pass
3.58,63.17,8.51,53.76,Fail
6.48,54.59,5.67,49.46,Fail
1.23,77.05,4.15,49.38,Fail
8.89,59.23,4.58,64.53,Pass
5.03,70.68,7.94,76.49,Pass
4.49,59.36,5.28,35.63,Fail
5.86,94.05,5.43,93.95,Pass
6.25,66.37,4.89,48.47,Fail
0.72,88.74,5.54,30.89,Fail
6.83,97.43,8.56,94.79,Pass
2.42,97.03,7.08,46.7,Fail
7.14,76.24,5.3,76.37,Pass
8.23,99.16,5.49,32.47,Pass
8.04,82.8,6.27,73.17,Pass
5.53,56.42,9.98,48.86,Pass
5.2,94.42,5.04,43.97,Fail
1.43,73.43,8.82,34.41,Fail
7.75,57.63,9.19,92.5,Pass
2.71,89.57,9.73,95.01,Pass
4.97,81.22,7.63,87.89,Pass
2.84,94.11,4.6,50.58,Fail
1.34,91.37,4.14,30.01,Fail
6.3,66.01,6.66,46.87,Pass
0.54,62.82,6.1,71.14,Fail
7.49,86.69,9.17,53.1,Pass
3.18,78.67,7.58,39.31,Fail
0.0,53.49,9.06,43.99,Fail
5.11,59.08,7.42,86.37,Pass
0.47,57.57,5.36,51.96,Fail
2.76,79.49,5.2,39.42,Fail
7.07,54.29,6.37,71.76,Pass
0.63,60.39,4.18,69.96,Fail
8.39,77.27,6.98,58.07,Pass
0.04,56.65,5.64,65.54,Fail
2.47,62.41,4.27,48.08,Fail
7.41,95.34,6.85,78.7,Pass
3.16,84.86,7.85,45.51,Fail
1.02,65.34,4.6,70.85,Fail
3.6,93.87,7.65,63.57,Pass
2.7,62.51,9.66,39.7,Fail
8.43,79.45,6.26,57.91,Pass
3.13,68.42,9.89,66.13,Fail
7.89,87.61,8.69,32.27,Pass
8.92,68.58,4.06,86.06,Pass
4.34,62.44,9.67,80.67,Pass
9.1,80.39,7.06,47.92,Pass
3.77,87.27,7.6,47.25,Fail
9.64,76.82,7.66,52.06,Pass
0.89,85.81,6.35,86.06,Fail
6.87,71.1,6.66,93.06,Pass
4.94,89.77,7.11,42.14,Pass
3.88,79.25,9.79,30.44,Fail
6.33,59.81,5.31,82.0,Pass
7.04,94.54,9.49,60.63,Pass
0.04,91.84,9.86,75.81,Fail
1.67,98.2,6.55,91.17,Fail
7.13,78.45,5.48,95.05,Pass
6.66,83.79,6.77,58.42,Pass
9.66,93.18,4.61,47.23,Pass
7.61,52.63,8.93,85.98,Pass
9.51,95.61,5.89,56.42,Pass
7.03,63.56,5.83,36.86,Fail
2.98,52.85,8.04,80.8,Fail
1.05,61.88,7.37,81.93,Fail
7.82,79.32,7.51,44.19,Pass
6.44,52.39,6.91,31.79,Fail
0.48,50.04,6.7,38.38,Fail
3.6,81.97,5.89,51.99,Fail
9.57,72.67,5.7,55.26,Pass
5.0,92.22,9.96,92.07,Pass
4.33,62.88,6.42,65.89,Fail
4.58,64.04,7.04,91.72,Pass
2.09,53.88,6.38,43.13,Fail
3.69,76.93,8.36,84.34,Pass
3.7,68.3,5.04,36.41,Fail
0.52,66.99,4.31,87.36,Fail
7.68,72.88,9.84,56.14,Pass
4.17,92.48,7.21,76.9,Pass
8.22,55.26,7.3,95.98,Pass
8.5,76.18,6.8,86.14,Pass
2.12,59.82,4.3,44.64,Fail
6.57,60.62,8.06,79.81,Pass
4.72,62.84,7.4,54.9,Fail
8.8,72.97,4.86,75.94,Pass
2.16,74.72,7.14,36.1,Fail
6.78,93.58,5.4,30.58,Pass
6.08,94.61,7.84,95.23,Pass
2.95,79.33,8.01,96.13,Pass
1.37,64.07,5.78,40.32,Fail
6.52,90.92,4.56,95.78,Pass
7.39,89.64,8.79,69.77,Pass
3.16,89.9,7.82,69.88,Pass
6.45,50.82,7.63,81.37,Pass
3.95,87.69,7.59,83.35,Pass
7.13,92.64,8.32,46.65,Pass
1.99,80.25,5.37,86.42,Fail
8.9,87.56,6.44,87.21,Pass
2.87,88.81,5.33,42.99,Fail
3.68,75.33,4.43,74.21,Fail
0.58,90.68,9.44,82.07,Fail
1.12,89.61,4.28,71.03,Fail
5.16,95.81,4.28,51.43,Fail
2.68,96.07,5.93,49.79,Fail
8.35,76.49,5.91,98.16,Pass
0.15,51.57,4.24,88.64,Fail
3.79,50.96,8.6,48.37,Fail
3.37,96.95,4.7,86.85,Fail
0.19,66.87,4.53,51.22,Fail
1.24,68.88,4.52,96.29,Fail
4.14,73.5,7.87,86.43,Pass
4.93,63.29,5.02,86.81,Fail
4.04,79.52,7.47,33.33,Fail
5.31,89.23,5.21,34.6,Fail
5.95,62.87,9.02,86.93,Pass
0.1,87.15,5.12,61.56,Fail
4.64,83.6,6.58,95.53,Pass
9.63,76.28,7.31,78.3,Pass
5.19,66.27,9.28,53.48,Pass
6.78,93.64,5.29,48.52,Pass
3.12,70.14,7.72,95.31,Pass
7.74,68.73,4.19,41.31,Pass
7.73,82.07,8.65,68.83,Pass
5.21,96.02,7.16,53.12,Pass
9.76,75.4,9.67,93.11,Pass
1.26,86.13,8.65,99.34,Fail
0.17,72.84,6.4,68.73,Fail
7.7,60.94,6.49,34.35,Pass
8.07,56.2,4.04,97.95,Pass
1.2,56.82,9.03,60.29,Fail
